rho,sigma,xi,F,log_posterior
0.520744,0.132791,1.910166,0.046620,-3.681980
0.520744,0.132791,1.910166,0.046620,-3.681980
0.520744,0.132791,1.910166,0.046620,-3.681980
0.565541,0.155960,1.612683,0.040136,-2.676967
0.496010,0.208987,0.739377,0.038208,-1.916451
0.496010,0.208987,0.739377,0.038208,-1.916451
0.511303,0.191872,1.160852,0.037391,-1.369527
0.473444,0.135002,0.520201,0.044694,-2.375615
0.473444,0.135002,0.520201,0.044694,-2.375615
0.660269,0.121885,0.622378,0.045420,-0.955312
0.704586,0.184793,1.625104,0.043102,-1.214065
0.704586,0.184793,1.625104,0.043102,-1.214065
0.704586,0.184793,1.625104,0.043102,-1.214065
0.704586,0.184793,1.625104,0.043102,-1.214065
0.709690,0.209502,1.358246,0.038004,-0.788140
0.709690,0.209502,1.358246,0.038004,-0.788140
0.709690,0.209502,1.358246,0.038004,-0.788140
0.676131,0.052233,0.913546,0.037570,-2.396014
0.635393,0.070035,0.635117,0.043035,-2.049661
0.710669,0.142335,1.094049,0.040575,-0.626349
0.710669,0.142335,1.094049,0.040575,-0.626349
0.710669,0.142335,1.094049,0.040575,-0.626349
0.725723,0.178223,1.310181,0.040072,-0.463451
0.725723,0.178223,1.310181,0.040072,-0.463451
0.725723,0.178223,1.310181,0.040072,-0.463451
0.725723,0.178223,1.310181,0.040072,-0.463451
0.770343,0.098268,0.739871,0.034315,-0.916526
0.770343,0.098268,0.739871,0.034315,-0.916526
0.750192,0.075371,1.172343,0.028560,-1.835561
0.730964,0.074840,0.935800,0.020700,-1.495350
0.730964,0.074840,0.935800,0.020700,-1.495350
0.730964,0.074840,0.935800,0.020700,-1.495350
0.730964,0.074840,0.935800,0.020700,-1.495350
0.730964,0.074840,0.935800,0.020700,-1.495350
0.588051,0.101171,0.928485,0.026090,-1.021159
0.588051,0.101171,0.928485,0.026090,-1.021159
0.620994,0.203912,1.018577,0.017721,-0.771711
0.620994,0.203912,1.018577,0.017721,-0.771711
0.620994,0.203912,1.018577,0.017721,-0.771711
0.676795,0.190344,0.607403,0.019651,-0.856495
0.676795,0.190344,0.607403,0.019651,-0.856495
0.676795,0.190344,0.607403,0.019651,-0.856495
0.531572,0.171654,0.964920,0.038215,-0.993484
0.531572,0.171654,0.964920,0.038215,-0.993484
0.681764,0.183088,0.689346,0.028638,-0.498251
0.681764,0.183088,0.689346,0.028638,-0.498251
0.681764,0.183088,0.689346,0.028638,-0.498251
0.681764,0.183088,0.689346,0.028638,-0.498251
0.681764,0.183088,0.689346,0.028638,-0.498251
0.681764,0.183088,0.689346,0.028638,-0.498251
0.698140,0.188057,0.919876,0.023318,-0.541627
0.615162,0.109837,0.036948,0.028214,-3.547326
0.615162,0.109837,0.036948,0.028214,-3.547326
0.615162,0.109837,0.036948,0.028214,-3.547326
0.786536,0.106766,0.266073,0.035244,-2.338576
0.786536,0.106766,0.266073,0.035244,-2.338576
0.786536,0.106766,0.266073,0.035244,-2.338576
0.786536,0.106766,0.266073,0.035244,-2.338576
0.786536,0.106766,0.266073,0.035244,-2.338576
0.534318,0.191973,0.235732,0.046520,-2.253607
0.534318,0.191973,0.235732,0.046520,-2.253607
0.743157,0.280262,0.356576,0.033038,-2.758035
0.743157,0.280262,0.356576,0.033038,-2.758035
0.743157,0.280262,0.356576,0.033038,-2.758035
0.743157,0.280262,0.356576,0.033038,-2.758035
0.743157,0.280262,0.356576,0.033038,-2.758035
0.694197,0.210146,1.429571,0.027314,-0.949720
0.694197,0.210146,1.429571,0.027314,-0.949720
0.694197,0.210146,1.429571,0.027314,-0.949720
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.659537,0.128126,1.897769,0.012023,-2.447409
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.717476,0.084593,1.983675,0.010589,-3.370716
0.678842,0.100918,1.494220,0.015140,-2.347881
0.678842,0.100918,1.494220,0.015140,-2.347881
0.678842,0.100918,1.494220,0.015140,-2.347881
0.678842,0.100918,1.494220,0.015140,-2.347881
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.696402,0.081453,1.973571,0.010173,-3.398744
0.526383,0.116203,1.566601,0.024286,-1.884429
0.526383,0.116203,1.566601,0.024286,-1.884429
0.526383,0.116203,1.566601,0.024286,-1.884429
0.524904,0.184887,1.117961,0.029888,-0.330924
0.524904,0.184887,1.117961,0.029888,-0.330924
0.608267,0.246081,0.849195,0.025756,-1.004846
0.705192,0.247759,1.565145,0.042352,-1.994470
0.705192,0.247759,1.565145,0.042352,-1.994470
0.776721,0.228443,1.663706,0.030094,-1.474342
0.702721,0.226636,1.168163,0.012058,-1.204925
0.775745,0.156286,0.944198,0.010771,-1.542281
0.659222,0.100970,1.379004,0.042766,-1.900611
0.659222,0.100970,1.379004,0.042766,-1.900611
0.659222,0.100970,1.379004,0.042766,-1.900611
0.661797,0.270176,1.647449,0.045271,-3.567503
0.661797,0.270176,1.647449,0.045271,-3.567503
0.662337,0.162473,1.543658,0.033255,-0.864477
0.662337,0.162473,1.543658,0.033255,-0.864477
0.662337,0.162473,1.543658,0.033255,-0.864477
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.766097,0.107094,1.759747,0.041251,-0.973751
0.755828,0.195136,1.022819,0.041300,-0.491553
